,WHO Region,WHO Country Name,Measurement Year,PM2.5 (μg/m3),PM10 (μg/m3),NO2 (μg/m3)
0,African Region,Algeria,2019,21.53,30.397151590409777,20.617833854804335
1,African Region,Cameroon,2012,248.0,311.0,61.85350156441301
2,African Region,Ethiopia,2016,28.3,30.397151590409777,20.617833854804335
3,African Region,Ethiopia,2017,27.24,30.397151590409777,20.617833854804335
4,African Region,Ethiopia,2018,28.79,30.397151590409777,20.617833854804335
5,African Region,Ethiopia,2019,20.48,30.397151590409777,20.617833854804335
6,African Region,Ghana,2012,22.96522161872192,152.5,20.617833854804335
7,African Region,Ghana,2013,22.96522161872192,193.43,20.617833854804335
8,African Region,Ghana,2014,22.96522161872192,179.17,20.617833854804335
9,African Region,Ghana,2015,22.96522161872192,176.4,20.617833854804335
10,African Region,Ghana,2016,55.0,30.397151590409777,20.617833854804335
11,African Region,Kenya,2018,5.91,14.55,20.617833854804335
12,African Region,Kenya,2019,10.79,22.75,20.617833854804335
13,African Region,Madagascar,2015,8.0,13.0,20.617833854804335
14,African Region,Madagascar,2017,128.0,143.0,20.617833854804335
15,African Region,Madagascar,2019,19.0,74.0,20.617833854804335
16,African Region,Mauritius,2010,45.93044323744384,58.349999999999994,41.23566770960867
17,African Region,Mauritius,2011,45.93044323744384,150.82000000000002,41.23566770960867
18,African Region,Mauritius,2015,45.93044323744384,28.56,41.23566770960867
19,African Region,Mauritius,2016,45.93044323744384,28.36,41.23566770960867
20,African Region,Mauritius,2019,68.89566485616575,73.35,56.185667709608666
21,African Region,Nigeria,2010,27.43,30.397151590409777,20.617833854804335
22,African Region,Senegal,2010,22.96522161872192,30.397151590409777,22.07
23,African Region,Senegal,2011,22.96522161872192,30.397151590409777,27.67
24,African Region,Senegal,2012,22.96522161872192,30.397151590409777,24.52
25,African Region,Senegal,2013,30.0,130.0,36.16
26,African Region,Senegal,2014,25.0,125.0,34.19
27,African Region,Senegal,2015,33.0,145.0,19.6
28,African Region,Senegal,2016,29.42,132.86,20.33
29,African Region,Senegal,2017,19.86,143.31,22.1
30,African Region,Senegal,2018,42.0,136.19,15.68
31,African Region,Senegal,2019,22.96522161872192,136.26,16.79
32,African Region,South Africa,2010,207.68566485616577,285.62715159040977,235.53566770960867
33,African Region,South Africa,2011,210.4761080936096,258.75430318081953,148.69783385480434
34,African Region,South Africa,2012,282.8808864748877,564.2971515904098,243.33133541921734
35,African Region,South Africa,2013,260.1761080936096,442.8771515904097,302.323501564413
36,African Region,South Africa,2014,222.6808864748877,414.91,251.07783385480434
37,African Region,South Africa,2015,200.83044323744386,348.3771515904097,232.1178338548043
38,African Region,South Africa,2016,274.6908864748877,516.9371515904097,328.80350156441295
39,African Region,South Africa,2017,148.3256648561658,247.60145477122933,162.33566770960866
40,African Region,South Africa,2018,294.79610809360963,508.8143031808195,363.48350156441296
41,African Region,South Africa,2019,431.0661080936096,834.8343031808196,382.7591692740217
42,African Region,Uganda,2013,104.3,170.4,20.617833854804335
43,African Region,Uganda,2017,53.71,30.397151590409777,20.617833854804335
44,African Region,Uganda,2018,59.04,30.397151590409777,20.617833854804335
45,African Region,Uganda,2019,60.15,30.397151590409777,20.617833854804335
46,African Region,United Republic of Tanzania,2011,23.32,35.1,20.617833854804335
47,Eastern Mediterranean Region,Afghanistan,2019,119.77,30.397151590409777,20.617833854804335
48,Eastern Mediterranean Region,Bahrain,2010,22.96522161872192,243.9,20.617833854804335
49,Eastern Mediterranean Region,Bahrain,2011,45.93044323744384,399.3,41.23566770960867
50,Eastern Mediterranean Region,Bahrain,2012,254.55522161872193,1247.8600000000001,103.08916927402167
51,Eastern Mediterranean Region,Bahrain,2016,60.75,30.397151590409777,20.617833854804335
52,Eastern Mediterranean Region,Bahrain,2017,62.64,30.397151590409777,20.617833854804335
53,Eastern Mediterranean Region,Bahrain,2018,68.89566485616575,319.11,61.85350156441301
54,Eastern Mediterranean Region,Bahrain,2019,130.17,347.86999999999995,123.86783385480433
55,Eastern Mediterranean Region,Egypt,2013,45.93044323744384,346.0,41.23566770960867
56,Eastern Mediterranean Region,Egypt,2014,45.93044323744384,483.0,41.23566770960867
57,Eastern Mediterranean Region,Egypt,2015,45.93044323744384,533.0,41.23566770960867
58,Eastern Mediterranean Region,Iran (Islamic Republic of),2010,344.47832428082876,1906.1899999999998,309.26750782206506
59,Eastern Mediterranean Region,Iran (Islamic Republic of),2011,544.5069945684972,1945.68,329.8853416768694
60,Eastern Mediterranean Region,Iran (Islamic Republic of),2012,606.9987675182724,2600.14430318082,1224.3048369836306
61,Eastern Mediterranean Region,Iran (Islamic Republic of),2013,567.4978810433848,1895.47,929.6970031288259
62,Eastern Mediterranean Region,Iran (Islamic Republic of),2014,179.2661080936096,467.3871515904098,380.4356677096087
63,Eastern Mediterranean Region,Iran (Islamic Republic of),2015,29.83,77.68,93.16
64,Eastern Mediterranean Region,Iran (Islamic Republic of),2016,1840.245221618722,1804.147640653356,1338.748695869042
65,Eastern Mediterranean Region,Iran (Islamic Republic of),2017,170.81522161872192,151.98575795204889,168.65133541921736
66,Eastern Mediterranean Region,Iran (Islamic Republic of),2018,532.2052216187219,547.1487286273757,436.68317553167384
67,Eastern Mediterranean Region,Iran (Islamic Republic of),2019,501.0952216187219,638.340183398605,498.5366770960869
68,Eastern Mediterranean Region,Iraq,2015,22.96522161872192,208.13,20.617833854804335
69,Eastern Mediterranean Region,Iraq,2016,22.96522161872192,179.38,20.617833854804335
70,Eastern Mediterranean Region,Iraq,2017,45.93044323744384,221.39715159040978,123.69
71,Eastern Mediterranean Region,Iraq,2018,68.89566485616575,605.6600000000001,101.61783385480433
72,Eastern Mediterranean Region,Iraq,2019,130.01999999999998,91.19145477122933,163.25
73,Eastern Mediterranean Region,Jordan,2015,87.89566485616575,334.50715159040976,82.47133541921734
74,Eastern Mediterranean Region,Jordan,2016,68.89566485616575,232.36999999999998,61.85350156441301
75,Eastern Mediterranean Region,Jordan,2017,91.86088647488768,275.87,84.973501564413
76,Eastern Mediterranean Region,Jordan,2018,91.86088647488768,261.75,83.29999999999998
77,Eastern Mediterranean Region,Jordan,2019,95.72566485616576,221.61,93.44
78,Eastern Mediterranean Region,Kuwait,2014,570.2883242808286,2704.94,391.7388432412825
79,Eastern Mediterranean Region,Kuwait,2015,375.52177294977537,1520.55,616.2900000000001
80,Eastern Mediterranean Region,Kuwait,2016,371.3065513310534,1513.58,513.427003128826
81,Eastern Mediterranean Region,Kuwait,2017,375.86044323744386,679.6114547712293,207.733501564413
82,Eastern Mediterranean Region,Kuwait,2018,56.5,30.397151590409777,20.617833854804335
83,Eastern Mediterranean Region,Kuwait,2019,244.45999999999998,508.8343031808196,161.40783385480435
84,Eastern Mediterranean Region,Lebanon,2012,30.3,51.3,20.617833854804335
85,Eastern Mediterranean Region,Lebanon,2014,108.0,167.0,120.853501564413
86,Eastern Mediterranean Region,Lebanon,2015,15.0,43.0,47.0
87,Eastern Mediterranean Region,Lebanon,2016,19.0,55.0,20.617833854804335
88,Eastern Mediterranean Region,Morocco,2011,45.93044323744384,52.0,41.23566770960867
89,Eastern Mediterranean Region,Morocco,2012,22.96522161872192,57.5,20.617833854804335
90,Eastern Mediterranean Region,Morocco,2013,68.89566485616575,157.5,61.85350156441301
91,Eastern Mediterranean Region,Morocco,2016,137.79132971233153,264.0,123.707003128826
92,Eastern Mediterranean Region,Morocco,2018,91.86088647488768,116.63,69.55783385480433
93,Eastern Mediterranean Region,Morocco,2019,68.89566485616575,90.33,51.94566770960867
94,Eastern Mediterranean Region,Pakistan,2010,286.0,1186.0,61.85350156441301
